temperature,humidity,time
31.0,36.0,2023-07-06 17:30:54.526217
31.0,36.0,2023-07-06 17:30:56.051938
31.0,36.0,2023-07-06 17:30:57.577652
31.0,36.0,2023-07-06 17:30:59.103679
31.0,36.0,2023-07-06 17:31:00.629500
31.0,36.0,2023-07-06 17:31:02.155246
31.0,36.0,2023-07-06 17:31:03.681042
31.0,36.0,2023-07-06 17:31:05.208385
31.0,36.0,2023-07-06 17:31:09.261451
31.0,36.0,2023-07-06 17:31:10.787232
31.0,35.0,2023-07-06 17:31:17.367734
31.0,36.0,2023-07-06 17:31:21.430930
31.0,36.0,2023-07-06 17:31:22.956702
31.0,35.0,2023-07-06 17:31:24.483161
31.0,35.0,2023-07-06 17:31:26.008906
31.0,35.0,2023-07-06 17:31:27.534325
31.0,35.0,2023-07-06 17:31:31.587076
31.0,35.0,2023-07-06 17:31:33.112956
31.0,35.0,2023-07-06 17:31:34.638903
31.0,35.0,2023-07-06 17:31:36.164647
31.0,35.0,2023-07-06 17:31:37.690422
31.0,35.0,2023-07-06 17:31:39.216586
31.0,35.0,2023-07-06 17:31:40.742894
31.0,36.0,2023-07-06 17:31:42.269204
31.0,36.0,2023-07-06 17:31:43.795051
31.0,36.0,2023-07-06 17:31:45.321508
31.0,36.0,2023-07-06 17:31:46.847287
31.0,36.0,2023-07-06 17:31:48.373779
31.0,36.0,2023-07-06 17:31:49.899604
31.0,36.0,2023-07-06 17:31:51.426155
31.0,36.0,2023-07-06 17:31:52.951883
31.0,36.0,2023-07-06 17:31:54.477687
31.0,36.0,2023-07-06 17:31:56.003408
31.0,36.0,2023-07-06 17:31:57.529151
31.0,36.0,2023-07-06 17:31:59.054837
31.0,36.0,2023-07-06 17:32:00.580539
31.0,36.0,2023-07-06 17:32:02.106236
31.0,36.0,2023-07-06 17:32:03.631989
31.0,36.0,2023-07-06 17:32:05.157683
31.0,35.0,2023-07-06 17:32:06.683604
31.0,36.0,2023-07-06 17:32:08.209367
31.0,36.0,2023-07-06 17:32:09.735149
31.0,36.0,2023-07-06 17:32:11.261019
31.0,36.0,2023-07-06 17:32:12.786861
31.0,36.0,2023-07-06 17:32:14.312759
31.0,36.0,2023-07-06 17:32:15.838533
31.0,36.0,2023-07-06 17:32:17.364923
31.0,36.0,2023-07-06 17:32:21.417898
31.0,36.0,2023-07-06 17:32:22.943744
31.0,36.0,2023-07-06 17:32:24.469841
31.0,36.0,2023-07-06 17:32:25.995599
31.0,36.0,2023-07-06 17:32:27.521408
31.0,36.0,2023-07-06 17:32:29.047141
31.0,36.0,2023-07-06 17:32:30.572893
31.0,37.0,2023-07-06 17:32:32.098735
31.0,37.0,2023-07-06 17:32:33.624619
31.0,37.0,2023-07-06 17:32:35.150453
31.0,37.0,2023-07-06 17:32:36.676374
31.0,37.0,2023-07-06 17:32:38.202327
31.0,37.0,2023-07-06 17:32:39.728235
31.0,37.0,2023-07-06 17:32:41.254394
31.0,37.0,2023-07-06 17:32:42.780318
31.0,37.0,2023-07-06 17:32:44.306387
31.0,37.0,2023-07-06 17:32:45.832375
31.0,37.0,2023-07-06 17:32:47.359022
31.0,36.0,2023-07-06 17:32:51.415755
31.0,36.0,2023-07-06 17:32:52.941628
31.0,36.0,2023-07-06 17:32:54.468257
31.0,36.0,2023-07-06 17:32:58.523276
31.0,37.0,2023-07-06 17:33:00.049022
31.0,37.0,2023-07-06 17:33:01.574307
31.0,37.0,2023-07-06 17:33:03.100058
31.0,37.0,2023-07-06 17:33:04.625839
31.0,37.0,2023-07-06 17:33:06.151596
31.0,36.0,2023-07-06 17:33:07.677438
31.0,36.0,2023-07-06 17:33:09.203222
31.0,36.0,2023-07-06 17:33:10.729155
31.0,36.0,2023-07-06 17:33:12.255715
31.0,36.0,2023-07-06 17:33:13.781664
31.0,36.0,2023-07-06 17:33:15.308270
31.0,36.0,2023-07-06 17:33:16.834158
31.0,36.0,2023-07-06 17:33:18.360785
31.0,36.0,2023-07-06 17:33:19.886710
